sec,sample,state_ut,round,sch_name,fsu,su,sd,sss,ssu,svc,reason,st,nssreg,dc,strm,sstrm,sr,sro,nsc,mult,hhsize,religion,social,hhtype,bl04i05,bl04i06,bl04i07,bl04i08,bl04i09,bl04i10,bl07i011,bl07i012,bl07i013,bl07i014,bl07i015,bl07i016,bl07i017,bl07i018,bl07i019,bl07i0110,bl07i0111,bl07i0112,bl07i0113,bl07i0114,bl07i0115,bl07i0119,bl07i02,bl07i03,bl07i04,bl07i05,bl07i061,bl07i062,bl07i063,bl07i064,bl07i07,bl07i08,bl07i09,bl07i10,bl07i11,bl07i12,bl07i13,bl07i14,bl07i15,bl07i16,inf_srl,response
1,1,Sikkim,79,AYUSH,56589,2,,1,3,1,,11,111,1,23,1,4,1110,4,6428,6,6,1,4,15000,1500,300,20000,25000,20550,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,1.0,2.0,,,,,,,1,1.0,1.0,1,1.0,1,2,,3.0,1
1,1,Sikkim,79,AYUSH,56589,2,,1,4,1,,11,111,1,23,1,4,1110,4,6428,3,1,2,4,11000,500,100,12000,20000,14267,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56589,2,,1,5,1,,11,111,1,23,1,4,1110,4,6428,4,1,2,4,14000,500,100,15000,20000,17517,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1,1.0,1.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56589,2,,1,6,1,,11,111,1,23,1,4,1110,4,6428,6,1,3,2,12000,500,0,18000,25000,16083,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,,,,,,,1,1.0,1.0,1,1.0,1,2,,3.0,1
1,1,Sikkim,79,AYUSH,56589,2,,1,7,1,,11,111,1,23,1,4,1110,4,6428,7,6,2,4,10000,1000,500,25000,10000,14417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2,,,1,1.0,1,2,,3.0,1
1,1,Sikkim,79,AYUSH,56589,2,,1,8,1,,11,111,1,23,1,4,1110,4,6428,4,6,1,2,7000,1000,200,15000,7000,10033,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56589,2,,1,9,1,,11,111,1,23,1,4,1110,4,6428,4,6,2,2,11000,800,300,12000,15000,14350,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,,,,,,,1,1.0,1.0,1,1.0,1,2,,3.0,1
1,1,Sikkim,79,AYUSH,56589,2,,2,1,1,,11,111,1,23,1,4,1110,4,650,3,6,1,1,7000,2000,200,12000,6000,10700,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2,,,1,1.0,1,2,,1.0,1
1,1,Sikkim,79,AYUSH,56589,2,,2,2,1,,11,111,1,23,1,4,1110,4,650,1,1,3,4,6000,0,0,10000,6000,7333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2,,,1,1.0,1,2,,1.0,1
1,1,Sikkim,79,AYUSH,56589,2,,2,3,1,,11,111,1,23,1,4,1110,4,650,1,1,3,2,4000,0,0,10000,6000,5333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,,,,,,,2,,,1,1.0,1,2,,1.0,1
1,1,Sikkim,79,AYUSH,56575,2,,1,1,1,,11,111,1,23,2,4,1110,4,6469,7,1,1,4,13000,1200,0,9000,20000,16617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1,1.0,1.0,1,1.0,1,1,1.0,4.0,1
1,1,Sikkim,79,AYUSH,56575,2,,1,2,1,,11,111,1,23,2,4,1110,4,6469,4,1,1,1,9000,1500,200,7500,16000,12658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,2.0,1,1.0,1,1,1.0,2.0,4
1,1,Sikkim,79,AYUSH,56575,2,,1,3,1,,11,111,1,23,2,4,1110,4,6469,8,1,2,4,17000,1200,200,11000,21000,21067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,2.0,1,1.0,1,1,1.0,3.0,1
1,1,Sikkim,79,AYUSH,56575,2,,1,4,1,,11,111,1,23,2,4,1110,4,6469,4,1,1,4,9500,350,0,7000,16000,11767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1,1.0,1.0,1,1.0,1,1,1.0,2.0,1
1,1,Sikkim,79,AYUSH,56575,2,,1,5,1,,11,111,1,23,2,4,1110,4,6469,4,1,1,4,9500,500,0,6000,14000,11667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1,1.0,2.0,1,1.0,1,1,1.0,3.0,1
1,1,Sikkim,79,AYUSH,56575,2,,1,6,1,,11,111,1,23,2,4,1110,4,6469,4,6,1,4,9000,1100,100,6500,14000,11908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1,1.0,2.0,1,1.0,2,1,1.0,3.0,1
1,1,Sikkim,79,AYUSH,56575,2,,1,7,1,,11,111,1,23,2,4,1110,4,6469,8,1,1,4,14000,1100,100,8000,20000,17533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1,1.0,2.0,1,1.0,1,1,1.0,3.0,1
